26.70 - 28291    - CREATE - ./simpledu, test, -b
321.75 - 28814    - CREATE - 
321.83 - 28814    - SEND_PIPE - 22093
321.85 - 28814    - EXIT - 0
321.99 - 28606    - RECV_PIPE - 22093
322.15 - 28815    - CREATE - 
322.23 - 28815    - SEND_PIPE - 20617
322.25 - 28815    - EXIT - 0
322.56 - 28606    - RECV_PIPE - 20617
322.92 - 28816    - CREATE - 
323.10 - 28816    - SEND_PIPE - 13508
323.12 - 28816    - EXIT - 0
323.56 - 28606    - RECV_PIPE - 13508
323.94 - 28817    - CREATE - 
324.06 - 28817    - SEND_PIPE - 66875
324.07 - 28817    - EXIT - 0
324.28 - 28606    - RECV_PIPE - 66875
324.55 - 28818    - CREATE - 
324.68 - 28818    - SEND_PIPE - 23888
324.71 - 28818    - EXIT - 0
325.19 - 28606    - RECV_PIPE - 23888
325.49 - 28820    - CREATE - 
325.59 - 28820    - SEND_PIPE - 15946
325.60 - 28820    - EXIT - 0
325.77 - 28606    - RECV_PIPE - 15946
326.02 - 28824    - CREATE - 
326.16 - 28824    - SEND_PIPE - 32
326.18 - 28824    - EXIT - 0
326.61 - 28606    - RECV_PIPE - 32
327.04 - 28825    - CREATE - 
327.19 - 28825    - SEND_PIPE - 62803
327.22 - 28825    - EXIT - 0
327.54 - 28606    - RECV_PIPE - 62803
327.89 - 28826    - CREATE - 
328.02 - 28826    - SEND_PIPE - 86525
328.05 - 28826    - EXIT - 0
328.38 - 28606    - RECV_PIPE - 86525
328.71 - 28827    - CREATE - 
328.85 - 28827    - SEND_PIPE - 55597
328.87 - 28827    - EXIT - 0
329.27 - 28606    - RECV_PIPE - 55597
329.67 - 28828    - CREATE - 
329.81 - 28828    - SEND_PIPE - 85990
329.83 - 28828    - EXIT - 0
330.13 - 28606    - RECV_PIPE - 85990
330.30 - 28829    - CREATE - 
330.37 - 28829    - SEND_PIPE - 980982
330.43 - 28829    - EXIT - 0
330.57 - 28606    - RECV_PIPE - 980982
330.74 - 28830    - CREATE - 
330.84 - 28830    - SEND_PIPE - 38421
330.86 - 28830    - EXIT - 0
331.05 - 28606    - RECV_PIPE - 38421
331.22 - 28831    - CREATE - 
331.33 - 28831    - SEND_PIPE - 34920
331.35 - 28831    - EXIT - 0
331.50 - 28606    - RECV_PIPE - 34920
331.66 - 28832    - CREATE - 
331.76 - 28832    - SEND_PIPE - 7529
331.78 - 28832    - EXIT - 0
331.94 - 28606    - RECV_PIPE - 7529
332.09 - 28833    - CREATE - 
332.18 - 28833    - SEND_PIPE - 2727
332.20 - 28833    - EXIT - 0
332.40 - 28606    - RECV_PIPE - 2727
332.59 - 28834    - CREATE - 
332.70 - 28834    - SEND_PIPE - 39228
332.72 - 28834    - EXIT - 0
332.90 - 28606    - RECV_PIPE - 39228
333.12 - 28835    - CREATE - 
333.27 - 28835    - SEND_PIPE - 123781
333.29 - 28835    - EXIT - 0
333.55 - 28606    - RECV_PIPE - 123781
333.77 - 28836    - CREATE - 
333.87 - 28836    - SEND_PIPE - 16160
333.89 - 28836    - EXIT - 0
334.14 - 28606    - RECV_PIPE - 16160
334.49 - 28837    - CREATE - 
334.60 - 28837    - SEND_PIPE - 163657
334.62 - 28837    - EXIT - 0
334.88 - 28606    - RECV_PIPE - 163657
335.16 - 28838    - CREATE - 
335.29 - 28838    - SEND_PIPE - 101496
335.31 - 28838    - EXIT - 0
335.51 - 28606    - RECV_PIPE - 101496
335.74 - 28839    - CREATE - 
335.82 - 28839    - SEND_PIPE - 9722
335.84 - 28839    - EXIT - 0
336.01 - 28606    - RECV_PIPE - 9722
336.19 - 28840    - CREATE - 
336.27 - 28840    - SEND_PIPE - 15454
336.28 - 28840    - EXIT - 0
336.41 - 28606    - RECV_PIPE - 15454
336.56 - 28841    - CREATE - 
336.64 - 28841    - SEND_PIPE - 79379
336.65 - 28841    - EXIT - 0
336.79 - 28606    - RECV_PIPE - 79379
336.95 - 28842    - CREATE - 
337.03 - 28842    - SEND_PIPE - 40241
337.04 - 28842    - EXIT - 0
337.17 - 28606    - RECV_PIPE - 40241
337.31 - 28843    - CREATE - 
337.39 - 28843    - SEND_PIPE - 22078
337.40 - 28843    - EXIT - 0
337.53 - 28606    - RECV_PIPE - 22078
337.69 - 28844    - CREATE - 
337.77 - 28844    - SEND_PIPE - 30014
337.79 - 28844    - EXIT - 0
337.90 - 28606    - RECV_PIPE - 30014
338.05 - 28845    - CREATE - 
338.12 - 28845    - SEND_PIPE - 72570
338.13 - 28845    - EXIT - 0
338.25 - 28606    - RECV_PIPE - 72570
338.47 - 28846    - CREATE - 
338.56 - 28846    - SEND_PIPE - 136493
338.58 - 28846    - EXIT - 0
338.73 - 28606    - RECV_PIPE - 136493
338.88 - 28848    - CREATE - 
339.00 - 28848    - SEND_PIPE - 12573
339.02 - 28848    - EXIT - 0
339.34 - 28606    - RECV_PIPE - 12573
339.73 - 28849    - CREATE - 
339.91 - 28849    - SEND_PIPE - 13780
339.96 - 28849    - EXIT - 0
340.40 - 28606    - RECV_PIPE - 13780
340.70 - 28850    - CREATE - 
340.82 - 28850    - SEND_PIPE - 53971
340.84 - 28850    - EXIT - 0
341.11 - 28606    - RECV_PIPE - 53971
341.41 - 28851    - CREATE - 
341.61 - 28851    - SEND_PIPE - 64487
341.65 - 28851    - EXIT - 0
342.00 - 28606    - RECV_PIPE - 64487
342.23 - 28852    - CREATE - 
342.32 - 28852    - SEND_PIPE - 7557
342.34 - 28852    - EXIT - 0
342.63 - 28606    - RECV_PIPE - 7557
342.97 - 28853    - CREATE - 
343.11 - 28853    - SEND_PIPE - 18620
343.14 - 28853    - EXIT - 0
343.49 - 28606    - RECV_PIPE - 18620
343.81 - 28854    - CREATE - 
343.91 - 28854    - SEND_PIPE - 16890
343.93 - 28854    - EXIT - 0
344.18 - 28606    - RECV_PIPE - 16890
344.48 - 28855    - CREATE - 
344.60 - 28855    - SEND_PIPE - 42665
344.62 - 28855    - EXIT - 0
344.89 - 28606    - RECV_PIPE - 42665
345.19 - 28856    - CREATE - 
345.31 - 28856    - SEND_PIPE - 8929
345.33 - 28856    - EXIT - 0
345.59 - 28606    - RECV_PIPE - 8929
345.88 - 28857    - CREATE - 
345.98 - 28857    - SEND_PIPE - 14748
346.00 - 28857    - EXIT - 0
346.22 - 28606    - RECV_PIPE - 14748
346.55 - 28858    - CREATE - 
346.64 - 28858    - SEND_PIPE - 28468
346.66 - 28858    - EXIT - 0
346.80 - 28606    - RECV_PIPE - 28468
346.95 - 28859    - CREATE - 
347.04 - 28859    - SEND_PIPE - 6036
347.05 - 28859    - EXIT - 0
347.18 - 28606    - RECV_PIPE - 6036
347.33 - 28861    - CREATE - 
347.43 - 28861    - SEND_PIPE - 2311
347.45 - 28861    - EXIT - 0
347.61 - 28606    - RECV_PIPE - 2311
347.77 - 28862    - CREATE - 
347.86 - 28862    - SEND_PIPE - 13230
347.88 - 28862    - EXIT - 0
348.04 - 28606    - RECV_PIPE - 13230
348.20 - 28863    - CREATE - 
348.30 - 28863    - SEND_PIPE - 4366
348.31 - 28863    - EXIT - 0
348.47 - 28606    - RECV_PIPE - 4366
348.64 - 28864    - CREATE - 
348.76 - 28864    - SEND_PIPE - 79069
348.78 - 28864    - EXIT - 0
349.01 - 28606    - RECV_PIPE - 79069
349.25 - 28865    - CREATE - 
349.38 - 28865    - SEND_PIPE - 128210
349.41 - 28865    - EXIT - 0
349.59 - 28606    - RECV_PIPE - 128210
349.83 - 28866    - CREATE - 
349.92 - 28866    - SEND_PIPE - 4115
349.94 - 28866    - EXIT - 0
350.15 - 28606    - RECV_PIPE - 4115
350.47 - 28867    - CREATE - 
350.62 - 28867    - SEND_PIPE - 19397
350.64 - 28867    - EXIT - 0
350.85 - 28606    - RECV_PIPE - 19397
350.89 - 28606    - SEND_PIPE - 32338052
350.96 - 28606    - EXIT - 0
351.17 - 28605    - RECV_PIPE - 32338052
351.41 - 28868    - CREATE - 
351.52 - 28868    - SEND_PIPE - 0
351.54 - 28868    - EXIT - 0
351.78 - 28605    - RECV_PIPE - 0
351.83 - 28605    - SEND_PIPE - 33346698
351.85 - 28605    - EXIT - 0
352.09 - 28598    - RECV_PIPE - 33346698
352.14 - 28598    - SEND_PIPE - 74780244
352.17 - 28598    - EXIT - 0
352.36 - 28294    - RECV_PIPE - 74780244
352.40 - 28294    - SEND_PIPE - 135413810
352.43 - 28294    - EXIT - 0
352.59 - 28293    - RECV_PIPE - 13541381
352.64 - 28293    - SEND_PIPE - 13549446
352.66 - 28293    - EXIT - 0
352.81 - 28292    - RECV_PIPE - 13549446AME=rafa
352.86 - 28292    - SEND_PIPE - 13557638
352.87 - 28292    - EXIT - 0
352.99 - 28291    - RECV_PIPE - 13557638ê°;;¸
353.04 - 28291    - EXIT - 0
