26.70 - 28291    - CREATE - ./simpledu, test, -b
80.75 - 28366    - RECV_PIPE - 1654
80.88 - 28383    - CREATE - 
80.94 - 28383    - SEND_PIPE - 3739
80.96 - 28383    - EXIT - 0
81.07 - 28366    - RECV_PIPE - 3739
81.18 - 28384    - CREATE - 
81.24 - 28384    - SEND_PIPE - 5778
81.26 - 28384    - EXIT - 0
81.37 - 28366    - RECV_PIPE - 5778
81.48 - 28385    - CREATE - 
81.54 - 28385    - SEND_PIPE - 3737
81.55 - 28385    - EXIT - 0
81.66 - 28366    - RECV_PIPE - 3737
81.77 - 28386    - CREATE - 
81.83 - 28386    - SEND_PIPE - 5993
81.84 - 28386    - EXIT - 0
81.98 - 28366    - RECV_PIPE - 5993
82.09 - 28387    - CREATE - 
82.15 - 28387    - SEND_PIPE - 3040
82.16 - 28387    - EXIT - 0
82.30 - 28366    - RECV_PIPE - 3040
82.47 - 28388    - CREATE - 
82.53 - 28388    - SEND_PIPE - 1462
82.54 - 28388    - EXIT - 0
82.66 - 28366    - RECV_PIPE - 1462
83.25 - 28389    - CREATE - 
83.33 - 28389    - SEND_PIPE - 3302
83.35 - 28389    - EXIT - 0
83.51 - 28366    - RECV_PIPE - 3302
83.70 - 28390    - CREATE - 
83.78 - 28390    - SEND_PIPE - 1388
83.80 - 28390    - EXIT - 0
83.93 - 28366    - RECV_PIPE - 1388
84.07 - 28391    - CREATE - 
84.16 - 28391    - SEND_PIPE - 3160
84.18 - 28391    - EXIT - 0
84.32 - 28366    - RECV_PIPE - 3160
84.35 - 28366    - SEND_PIPE - 188104
84.37 - 28366    - EXIT - 0
84.50 - 28365    - RECV_PIPE - 188104
84.67 - 28392    - CREATE - 
84.74 - 28392    - SEND_PIPE - 0
84.76 - 28392    - EXIT - 0
84.89 - 28365    - RECV_PIPE - 0
84.94 - 28365    - SEND_PIPE - 242382
84.95 - 28365    - EXIT - 0
85.10 - 28364    - RECV_PIPE - 242382
85.31 - 28393    - CREATE - 
85.44 - 28393    - SEND_PIPE - 18968
85.46 - 28393    - EXIT - 0
85.70 - 28364    - RECV_PIPE - 18968
85.77 - 28364    - SEND_PIPE - 16469554
85.80 - 28364    - EXIT - 0
86.00 - 28294    - RECV_PIPE - 16469554
86.19 - 28394    - CREATE - 
86.38 - 28395    - CREATE - 
86.67 - 28396    - CREATE - 
86.87 - 28397    - CREATE - 
87.12 - 28398    - CREATE - 
87.22 - 28398    - SEND_PIPE - 2463
87.24 - 28398    - EXIT - 0
87.47 - 28397    - RECV_PIPE - 2463
87.74 - 28399    - CREATE - 
87.82 - 28399    - SEND_PIPE - 2445
87.84 - 28399    - EXIT - 0
88.03 - 28397    - RECV_PIPE - 2445
88.19 - 28400    - CREATE - 
88.26 - 28400    - SEND_PIPE - 1281
88.28 - 28400    - EXIT - 0
88.45 - 28397    - RECV_PIPE - 1281
88.61 - 28401    - CREATE - 
88.73 - 28401    - SEND_PIPE - 803
88.75 - 28401    - EXIT - 0
88.95 - 28397    - RECV_PIPE - 803
89.15 - 28402    - CREATE - 
89.26 - 28402    - SEND_PIPE - 438
89.29 - 28402    - EXIT - 0
89.50 - 28397    - RECV_PIPE - 438
89.72 - 28403    - CREATE - 
89.83 - 28403    - SEND_PIPE - 4342
89.85 - 28403    - EXIT - 0
90.21 - 28397    - RECV_PIPE - 4342
90.87 - 28404    - CREATE - 
91.02 - 28404    - SEND_PIPE - 711
91.05 - 28404    - EXIT - 0
91.31 - 28397    - RECV_PIPE - 711
91.53 - 28405    - CREATE - 
91.66 - 28405    - SEND_PIPE - 622
91.70 - 28405    - EXIT - 0
92.14 - 28397    - RECV_PIPE - 622
92.24 - 28397    - SEND_PIPE - 45873
92.27 - 28397    - EXIT - 0
92.60 - 28396    - RECV_PIPE - 45873
92.85 - 28406    - CREATE - 
92.93 - 28406    - SEND_PIPE - 0
92.95 - 28406    - EXIT - 0
93.22 - 28396    - RECV_PIPE - 0
93.31 - 28396    - SEND_PIPE - 91959
93.33 - 28396    - EXIT - 0
93.61 - 28395    - RECV_PIPE - 91959
93.71 - 28395    - SEND_PIPE - 1785269
93.74 - 28395    - EXIT - 0
94.06 - 28394    - RECV_PIPE - 1785269
94.16 - 28394    - SEND_PIPE - 1789365
94.19 - 28394    - EXIT - 0
94.66 - 28294    - RECV_PIPE - 1789365
94.93 - 28407    - CREATE - 
95.26 - 28408    - CREATE - 
95.54 - 28409    - CREATE - 
95.81 - 28410    - CREATE - 
95.89 - 28410    - SEND_PIPE - 80
95.91 - 28410    - EXIT - 0
96.18 - 28409    - RECV_PIPE - 80
96.27 - 28409    - SEND_PIPE - 4176
96.30 - 28409    - EXIT - 0
96.52 - 28408    - RECV_PIPE - 4176
96.82 - 28411    - CREATE - 
96.93 - 28411    - SEND_PIPE - 0
96.96 - 28411    - EXIT - 0
97.22 - 28408    - RECV_PIPE - 0
97.28 - 28408    - SEND_PIPE - 48214
97.30 - 28408    - EXIT - 0
97.46 - 28407    - RECV_PIPE - 48214
97.52 - 28407    - SEND_PIPE - 52390
97.54 - 28407    - EXIT - 0
97.72 - 28294    - RECV_PIPE - 52390
97.91 - 28412    - CREATE - 
97.99 - 28412    - SEND_PIPE - 0
98.01 - 28412    - EXIT - 0
98.14 - 28294    - RECV_PIPE - 0
98.27 - 28413    - CREATE - 
98.51 - 28414    - CREATE - 
98.61 - 28414    - SEND_PIPE - 1301
98.63 - 28414    - EXIT - 0
98.80 - 28413    - RECV_PIPE - 1301
98.95 - 28415    - CREATE - 
99.15 - 28416    - CREATE - 
99.35 - 28417    - CREATE - 
99.45 - 28417    - SEND_PIPE - 451
99.48 - 28417    - EXIT - 0
99.67 - 28416    - RECV_PIPE - 451
99.87 - 28418    - CREATE - 
100.00 - 28418    - SEND_PIPE - 190
100.03 - 28418    - EXIT - 0
100.27 - 28416    - RECV_PIPE - 190
100.49 - 28419    - CREATE - 
100.62 - 28419    - SEND_PIPE - 2542
100.64 - 28419    - EXIT - 0
100.91 - 28416    - RECV_PIPE - 2542
101.10 - 28420    - CREATE - 
101.18 - 28420    - SEND_PIPE - 8646
101.20 - 28420    - EXIT - 0
101.40 - 28416    - RECV_PIPE - 8646
101.60 - 28421    - CREATE - 
101.69 - 28421    - SEND_PIPE - 311
101.71 - 28421    - EXIT - 0
101.89 - 28416    - RECV_PIPE - 311
102.10 - 28422    - CREATE - 
102.18 - 28422    - SEND_PIPE - 642
102.20 - 28422    - EXIT - 0
102.38 - 28416    - RECV_PIPE - 642
102.66 - 28423    - CREATE - 
102.75 - 28423    - SEND_PIPE - 10891
102.77 - 28423    - EXIT - 0
102.96 - 28416    - RECV_PIPE - 10891
103.12 - 28424    - CREATE - 
103.21 - 28424    - SEND_PIPE - 3717
103.23 - 28424    - EXIT - 0
103.44 - 28416    - RECV_PIPE - 3717
103.63 - 28425    - CREATE - 
103.73 - 28425    - SEND_PIPE - 1697
103.75 - 28425    - EXIT - 0
103.93 - 28416    - RECV_PIPE - 1697
104.10 - 28426    - CREATE - 
104.16 - 28426    - SEND_PIPE - 2144
104.18 - 28426    - EXIT - 0
104.30 - 28416    - RECV_PIPE - 2144
104.45 - 28427    - CREATE - 
104.53 - 28427    - SEND_PIPE - 203
104.54 - 28427    - EXIT - 0
104.65 - 28416    - RECV_PIPE - 203
104.79 - 28428    - CREATE - 
104.85 - 28428    - SEND_PIPE - 720
104.87 - 28428    - EXIT - 0
104.99 - 28416    - RECV_PIPE - 720
105.13 - 28429    - CREATE - 
105.19 - 28429    - SEND_PIPE - 314
105.21 - 28429    - EXIT - 0
105.32 - 28416    - RECV_PIPE - 314
105.47 - 28430    - CREATE - 
105.56 - 28430    - SEND_PIPE - 1853
105.58 - 28430    - EXIT - 0
105.73 - 28416    - RECV_PIPE - 1853
106.02 - 28431    - CREATE - 
106.14 - 28431    - SEND_PIPE - 495
106.16 - 28431    - EXIT - 0
106.62 - 28416    - RECV_PIPE - 495
107.04 - 28432    - CREATE - 
107.20 - 28432    - SEND_PIPE - 492
107.22 - 28432    - EXIT - 0
107.51 - 28416    - RECV_PIPE - 492
107.58 - 28416    - SEND_PIPE - 100844
107.60 - 28416    - EXIT - 0
107.89 - 28415    - RECV_PIPE - 100844
108.31 - 28433    - CREATE - 
108.49 - 28433    - SEND_PIPE - 0
108.52 - 28433    - EXIT - 0
108.87 - 28415    - RECV_PIPE - 0
108.93 - 28415    - SEND_PIPE - 152050
108.95 - 28415    - EXIT - 0
109.15 - 28413    - RECV_PIPE - 152050
109.24 - 28413    - SEND_PIPE - 2558230
109.27 - 28413    - EXIT - 0
109.58 - 28294    - RECV_PIPE - 2558230
109.95 - 28434    - CREATE - 
110.37 - 28435    - CREATE - 
110.72 - 28435    - SEND_PIPE - 38
110.75 - 28435    - EXIT - 0
111.07 - 28434    - RECV_PIPE - 38
111.33 - 28436    - CREATE - 
111.56 - 28437    - CREATE - 
111.84 - 28438    - CREATE - 
111.92 - 28438    - SEND_PIPE - 2525
111.94 - 28438    - EXIT - 0
112.20 - 28437    - RECV_PIPE - 2525
112.44 - 28439    - CREATE - 
112.54 - 28439    - SEND_PIPE - 4665
112.56 - 28439    - EXIT - 0
112.80 - 28437    - RECV_PIPE - 4665
113.01 - 28440    - CREATE - 
113.09 - 28440    - SEND_PIPE - 516
113.11 - 28440    - EXIT - 0
113.33 - 28437    - RECV_PIPE - 516
113.55 - 28441    - CREATE - 
113.63 - 28441    - SEND_PIPE - 2295
113.65 - 28441    - EXIT - 0
113.78 - 28437    - RECV_PIPE - 2295
113.91 - 28442    - CREATE - 
113.98 - 28442    - SEND_PIPE - 3934
113.99 - 28442    - EXIT - 0
114.10 - 28437    - RECV_PIPE - 3934
114.22 - 28443    - CREATE - 
114.29 - 28443    - SEND_PIPE - 1007
114.30 - 28443    - EXIT - 0
114.50 - 28437    - RECV_PIPE - 1007
114.67 - 28444    - CREATE - 
114.74 - 28444    - SEND_PIPE - 428
114.76 - 28444    - EXIT - 0
114.92 - 28437    - RECV_PIPE - 428
115.10 - 28445    - CREATE - 
115.17 - 28445    - SEND_PIPE - 1406
115.19 - 28445    - EXIT - 0
115.31 - 28437    - RECV_PIPE - 1406
115.45 - 28446    - CREATE - 
115.52 - 28446    - SEND_PIPE - 499
115.54 - 28446    - EXIT - 0
115.65 - 28437    - RECV_PIPE - 499
115.79 - 28447    - CREATE - 
115.85 - 28447    - SEND_PIPE - 1392
115.86 - 28447    - EXIT - 0
115.98 - 28437    - RECV_PIPE - 1392
116.10 - 28448    - CREATE - 
116.16 - 28448    - SEND_PIPE - 2298
116.17 - 28448    - EXIT - 0
116.28 - 28437    - RECV_PIPE - 2298
116.40 - 28449    - CREATE - 
116.47 - 28449    - SEND_PIPE - 511
116.49 - 28449    - EXIT - 0
116.60 - 28437    - RECV_PIPE - 511
116.71 - 28450    - CREATE - 
116.77 - 28450    - SEND_PIPE - 1125
116.79 - 28450    - EXIT - 0
116.89 - 28437    - RECV_PIPE - 1125
117.01 - 28451    - CREATE - 
117.07 - 28451    - SEND_PIPE - 3666
117.09 - 28451    - EXIT - 0
117.21 - 28437    - RECV_PIPE - 3666
117.32 - 28452    - CREATE - 
117.38 - 28452    - SEND_PIPE - 1186
117.40 - 28452    - EXIT - 0
117.50 - 28437    - RECV_PIPE - 1186
117.62 - 28453    - CREATE - 
117.69 - 28453    - SEND_PIPE - 3323
117.71 - 28453    - EXIT - 0
117.81 - 28437    - RECV_PIPE - 3323
117.93 - 28454    - CREATE - 
118.01 - 28454    - SEND_PIPE - 1123
118.02 - 28454    - EXIT - 0
118.15 - 28437    - RECV_PIPE - 1123
118.53 - 28455    - CREATE - 
118.63 - 28455    - SEND_PIPE - 1853
118.65 - 28455    - EXIT - 0
118.85 - 28437    - RECV_PIPE - 1853
119.04 - 28456    - CREATE - 
119.13 - 28456    - SEND_PIPE - 1385
119.15 - 28456    - EXIT - 0
119.34 - 28437    - RECV_PIPE - 1385
119.55 - 28457    - CREATE - 
119.66 - 28457    - SEND_PIPE - 1833
119.69 - 28457    - EXIT - 0
119.93 - 28437    - RECV_PIPE - 1833
120.20 - 28458    - CREATE - 
